code,latitude,longitude,N,size,N_min,N_max
CARJAMN,44.787,-93.593,0.0,2.0,0.032,46.867
CARROMD,39.572,-76.987,0.0,2.0,0.065,17.3
CASCAMT,47.432,-111.507,4.871,2.0,0.032,5.484
CASPCAL,33.163,-115.485,0.0,2.0,0.036,1.097
CASPSAC,38.692,-121.157,0.0,2.0,0.032,0.033
CASSCND,46.87,-96.836,0.194,2.0,0.033,0.452
CASSCNE,41.012,-95.883,18.032,3.5,0.387,42.452
CASSJCA,32.75,-117.145,0.0,2.0,0.032,0.032
CATAHLA,31.74,-91.859,0.0,2.0,0.032,577.767
CATTANY,42.252,-78.8,0.0,2.0,0.065,1.194
CAWVALL,34.081,-117.529,0.0,2.0,0.032,0.067
CAYUGNY,42.98,-76.543,0.0,2.0,0.032,0.333
CBENDTX,27.737,-97.755,79.032,3.5,0.065,913.871
CBPHOLD,42.875,-78.85,0.0,2.0,0.387,3.935
CBPORIL,41.98,-87.873,0.548,2.0,0.548,0.71
CBRRSNC,35.409,-80.578,0.0,2.0,0.032,3.433
CCADCAZ,33.044,-111.377,0.0,2.0,0.032,594.355
CCAFLAZ,33.043,-111.372,470.194,6.0,0.032,1050.129
CCAHUTX,30.565,-97.419,454.258,6.0,57.226,527.433
CCANOOH,41.132,-80.632,204.774,6.0,12.25,365.129
CCASDCA,32.576,-116.915,1417.323,12.0,300.968,1537.903
CCCSSTX,27.684,-97.377,,15.0,0.036,0.036
CCHAUTX,30.339,-97.677,,15.0,0.129,0.194
CCHHSIL,41.873,-87.674,,15.0,0.033,0.097
CCHRTTX,31.022,-97.477,,15.0,0.067,0.517
CCRMCCA,38.007,-122.133,,15.0,0.032,0.032
CCRMHMN,45.12,-95.046,,15.0,0.1,0.387
CEMEDFL,25.788,-80.216,,15.0,0.032,0.581
CENTRVA,37.414,-79.169,,15.0,0.097,0.935
CENTRWV,38.699,-80.662,0.0,2.0,0.129,0.129
CFREDVA,39.199,-78.144,0.0,2.0,0.968,0.968
