detention_facility_code,name,state,start,end,place,type
PLYMOMA,Plymouth Co Cor Facilty,MA,0,197,"Plymouth, MA",Non-dedicated
POLKJIA,Polk County Jail,IA,0,197,"Des Moines, IA",Federal
BOPPOL,Pollock USP,LA,120,121,"Pollock, LA",Federal
POMONCA,Pomona City Jail,CA,0,112,"Pomona, CA",Federal
PONDEMT,Pondera County Jail,MT,3,25,"Conrad, MT",Non-dedicated
PTISBTX,Port Isabel Police Dept.,TX,71,175,"Port Isabel, TX",Other
PIC,Port Isabel SPC,TX,0,197,"Los Fresnos, TX",Dedicated
POOHOLD,Portland District Office,OR,0,197,"Portland, OR",Hold
POMHOLD,"Portland, ME Holdroom",ME,26,197,"Portland, ME",Hold
POTTAIA,Pottawattamie County Jail,IA,0,197,"Council Bluffs, IA",Federal
PRLDCTX,Prairieland Detention Center,TX,99,197,"Alvarado, TX",Dedicated
PRLHOLD,Prairieland Suboffice Hold Room,TX,105,197,"Alvarado, TX",Hold
PRSHANM,Presbyterian Hosp Abq,NM,154,194,"Albuquerque, NM",Medical
PRESITX,Presidio County Jail,TX,35,41,"Marfa, TX",Non-dedicated
PWILLVA,Prince William,VA,0,196,"Manassas, VA",Federal
KPCHOAZ,Promise Hospital,AZ,195,197,"Mesa, AZ",Medical
PROHOLD,Providence Holdroom,RI,113,197,"Warwick, RI",Hold
PRUHOLD,Provo Hold Room,UT,58,197,"Spanish Fork, UT",Hold
PROWECO,Prowers County Jail,CO,1,18,"Lamar, CO",Non-dedicated
PUEBLCO,Pueblo County Jail,CO,0,189,"Pueblo, CO",Federal
PUEHOLD,Pueblo Holdroom,CO,24,197,"Florence, CO",Hold
PULASIL,Pulaski County Jail,IL,88,156,"Ullin, IL",Non-dedicated
PUTMAFL,Putman County Jail,FL,167,192,"Palatka, FL",Other
QLTYSCA,Quality Suites,CA,65,164,"Calipatria, CA",Hotel
QUEMCHI,Queen's Medical Center,HI,184,185,"Honolulu, HI",Medical
QUEHONY,Queens House Of Detention,NY,62,113,"Kew Gardens, NY",Non-dedicated
CACFDON,RJ Donovan Correc Fac,CA,44,154,"San Diego, CA",Other
RDHEATX,Radisson Htl Elp Airport,TX,142,149,"El Paso, TX",Hotel
RDUHOLD,Raleigh Hold Room,NC,32,197,"Cary, NC",Hold
RAMEPTX,Ramada By Wyndham El Paso,TX,148,149,"El Paso, TX",Hotel
RMWYPAZ,Ramada By Wyndham Pho,AZ,150,154,"Phoenix, AZ",Hotel
HOTELMA,Ramada Hotel,MA,30,127,"East Boston, MA",Hotel
RAADCMN,"Ramsey ADC Annex, SPM",MN,0,111,"St. Paul, MN",Federal
RNDLLTX,Randall County Jail,TX,0,190,"Amarillo, TX",Federal
RPCHOLD,Rapid City Hold Room,SD,17,197,"Rapid City, SD",Hold
