code,latitude,longitude,N,size,N_min,N_max
POTTAIA,41.284,-95.865,50.129,3.5,50.129,53.71
PROWECO,38.086,-102.618,0.0,2.0,0.067,0.067
PUEBLCO,38.275,-104.611,0.226,2.0,0.226,0.645
PWILLVA,38.752,-77.48,0.065,2.0,0.065,0.065
RAADCMN,44.956,-93.086,69.613,3.5,66.567,72.677
REDETTX,31.399,-103.511,0.0,2.0,0.065,0.065
REHOSIL,41.865,-87.828,0.323,2.0,0.323,1.333
REJAITX,31.391,-103.533,6.032,2.0,4.767,6.516
RICECKS,38.348,-98.206,15.0,3.5,15.0,21.29
RNDLLTX,35.117,-101.868,66.129,3.5,59.833,72.742
ROCKIIL,41.509,-90.581,1.065,2.0,0.067,1.065
ROCKINH,43.014,-71.051,0.258,2.0,0.097,0.258
ROCKIVA,38.449,-78.871,0.065,2.0,0.065,0.097
RONKEVA,37.271,-79.947,0.065,2.0,0.065,0.2
ROSEBMT,46.266,-106.674,0.0,2.0,0.129,0.129
RSREGVA,37.307,-77.341,20.387,3.5,20.387,106.774
SAAHOLD,33.748,-117.875,45.71,3.5,35.333,45.71
SACHOLD,38.578,-121.5,17.839,3.5,16.323,18.267
SACITCA,33.75,-117.88,51.742,3.5,51.742,67.968
SACRACA,38.583,-121.498,34.581,3.5,27.133,34.581
SAJHOLD,18.408,-66.107,17.226,3.5,17.226,18.267
SANANCA,33.75,-117.88,127.839,6.0,107.7,127.839
SANJAIL,39.8,-89.643,1.097,2.0,0.1,1.097
SARJUNE,41.141,-96.039,0.065,2.0,0.065,0.194
SBDHOLD,34.101,-117.297,22.581,3.5,0.065,22.581
SBERNCA,34.102,-117.274,1.71,2.0,1.71,24.484
SCNORCA,37.351,-121.906,182.742,6.0,146.133,182.742
SDHOSCA,32.619,-117.022,5.258,2.0,5.258,5.548
SEAHOLD,47.49,-122.291,9.387,2.0,8.933,10.129
SEBASAR,35.383,-94.425,11.871,3.5,10.067,11.871
SENECOH,41.079,-83.154,109.355,6.0,109.355,117.323
SFRHOLD,37.796,-122.401,26.29,3.5,19.533,26.29
SHACOKS,39.047,-95.669,5.097,2.0,5.097,8.935
SHAJUKS,39.04,-95.636,0.065,2.0,0.065,0.1
SHERBMN,45.305,-93.619,143.968,6.0,133.567,143.968
SHERIMT,48.778,-104.556,0.29,2.0,0.267,0.29
SITKAAK,57.053,-135.334,0.0,2.0,0.067,0.067
SLRDCAZ,32.484,-114.685,0.935,2.0,0.097,1.067
SLSLCUT,40.697,-111.916,4.419,2.0,3.067,4.419
SMARYMD,38.303,-76.628,1.968,2.0,1.167,8.065
SNDCOCA,32.59,-116.92,0.0,2.0,0.067,0.067
SNDHOLD,32.717,-117.165,29.0,3.5,27.867,36.161
SNJHOLD,37.308,-121.868,0.258,2.0,0.033,0.258
SOLONOH,41.388,-81.444,1.0,2.0,1.0,3.633
SOMERME,44.793,-69.727,0.0,2.0,0.032,0.032
SOUTECO,37.134,-107.633,1.097,2.0,1.097,1.733
SPHOSCA,33.738,-118.305,0.581,2.0,0.581,0.935
SPMHOLD,44.86,-93.23,0.613,2.0,0.419,0.613
SRJDFID,42.544,-114.433,0.0,2.0,0.1,0.1
STCDFTX,28.895,-99.121,1591.226,15.0,1591.226,1653.935
STCLAMI,42.942,-82.479,32.355,3.5,30.452,32.355
STEUBNY,42.35,-77.296,0.258,2.0,0.233,0.29
STEVEWA,48.543,-117.903,0.065,2.0,0.065,0.065
STJOSCA,33.781,-117.864,0.065,2.0,0.033,0.065
STMRYIL,41.903,-87.684,0.0,2.0,0.323,0.323
STRAFNH,43.218,-70.94,25.032,3.5,25.032,37.0
STTCJVI,38.795,-106.535,0.0,2.0,0.29,0.29
STWRTGA,32.037,-84.772,1917.065,15.0,1734.419,1917.065
SUFFOMA,42.334,-71.068,250.516,6.0,248.233,253.645
SUMMIUT,40.723,-111.482,3.29,2.0,3.0,5.71
SUNNYWA,46.328,-120.024,0.097,2.0,0.067,0.29
SUSSENJ,41.057,-74.759,19.71,3.5,19.71,26.677
SWEETWY,41.598,-109.241,0.452,2.0,0.2,0.806
TELLECO,38.943,-105.151,37.452,3.5,37.452,74.5
TENSALA,31.809,-91.397,246.613,6.0,246.613,361.097
TETONWY,43.478,-110.76,1.129,2.0,1.129,1.8
TFALLID,42.559,-114.467,17.387,3.5,15.933,17.387
TGREETX,31.464,-100.44,0.0,2.0,0.226,0.226
