detention_facility_code,name,state,type_detailed,start,end,place
TRYOSCA,Trinity Youth Services LTFC,CA,UNKNOWN,0,196,"Claremont, CA"
TAKARTX,Trusted Adult Karnes FSC,TX,TAP-ICE,164,170,"San Antonio, TX"
TASTDTX,Trusted Adult South Tex Dilley FSC,TX,TAP-ICE,164,172,"Dilley, TX"
BOPTCN,Tucson Fed.Corr.Inst.,AZ,BOP,0,196,"Tucson, AZ"
TUCHOLD,Tucson INS Hold Room,AZ,HOLD,0,196,"Tucson, AZ"
TULCOOK,Tulsa County Jail,OK,IGSA,0,196,"Tulsa, OK"
TULHOLD,Tulsa Hold Room,OK,HOLD,122,196,"Tulsa, OK"
TFALLID,Twin Falls County Jail,ID,IGSA,0,40,"Twin Falls, ID"
TFIHOLD,Twin Falls Hold Room,ID,HOLD,76,196,"Twin Falls, ID"
DETHOLD,"U.S. Immigration, Detroit",MI,HOLD,19,105,"Detroit, MI"
UCSDMCA,UC San Diego Medical Center,CA,HOSPITAL,0,196,"San Diego, CA"
UPMCAPA,UPMC Altoona,PA,UNKNOWN,178,178,"Altoona, PA"
SPMHOLD,US INS/Detention & Deportation,MN,HOLD,1,196,"Bloomington, MN"
USMVT,"US Marshal's, Vermont",VT,USMS IGA,17,20,"Burlington, VT"
USMS2TX,US Marshals  SDTX,TX,UNKNOWN,0,196,"Houston, TX"
USMS3TX,US Marshals  SDTX,TX,USMS IGA,76,81,"Mcallen, TX"
USMSDMS,"US Marshals, S.Dist, MS",MS,USMS IGA,0,196,"Jackson, MS"
USMWDLA,"US Marshals, W.D. LA.",LA,USMS IGA,0,196,"Shreveport, LA"
USMSDFL,"US Marshals,S.Dist.FL",FL,USMS IGA,18,20,"Miami, FL"
BOPTCP,US Penitentiary Tucson,AZ,BOP,34,35,"Tucson, AZ"
BOPCAA,USP Canaan,PA,BOP,12,109,"Waymart, PA"
UCHUHCO,Uchealth Unv Hosp Of Co,CO,HOSPITAL,176,188,"Aurora, CO"
UINTAWY,Uinta County Jail,WY,USMS IGA,0,196,"Evanston, WY"
UINTCUT,Uintah County Jail,UT,IGSA,35,35,"Vernal, UT"
